Image Name,PSNR,SSIM
PCSlice5552.dat,19.309494962481693,0.8784055238192157
PCSlice5553.dat,20.00939574482006,0.9012426616905166
PCSlice5554.dat,19.40362322558298,0.8696877180519332
PCSlice5555.dat,20.907489392273668,0.9401202907251168
PCSlice5556.dat,20.46947175383857,0.922399886985324
PCSlice5557.dat,22.745476035256242,0.944399292788617
PCSlice5558.dat,18.70667497565338,0.87238937365207
PCSlice5559.dat,18.51871318263258,0.8577478390441232
PCSlice5560.dat,19.054777864170244,0.858064681359985
PCSlice5561.dat,19.647902348783738,0.889943986389142
PCSlice5562.dat,18.238809266535412,0.8599517221644989
PCSlice5563.dat,19.16191782566119,0.8450600237341411
PCSlice5564.dat,20.50650464654083,0.9139847160575062
PCSlice5565.dat,20.46230569502765,0.920707618582584
PCSlice5566.dat,20.687150675444784,0.9228828745096848
PCSlice5567.dat,20.100424222872043,0.9077721247924038
PCSlice5568.dat,20.482966056176778,0.9318495466818338
PCSlice5569.dat,19.34204682349996,0.8711044726586716
PCSlice5570.dat,22.316430171307744,0.9473331130455603
PCSlice5571.dat,21.90022806971507,0.9390453702838732
PCSlice5572.dat,17.324531854148695,0.8313641475498171
PCSlice5573.dat,22.281669469381022,0.9472752103340143
PCSlice5574.dat,17.89658490917908,0.8497109685291908
PCSlice5575.dat,22.777108284637,0.9457032217570974
PCSlice5576.dat,20.472690555041364,0.9212895112012023
PCSlice5577.dat,19.629130191808407,0.8844924867399672
PCSlice5578.dat,23.759454814566446,0.9594497733693216
PCSlice5579.dat,19.867069960029426,0.9052214073662772
PCSlice5580.dat,22.1452137317492,0.9362024324603311
PCSlice5581.dat,21.15705761467524,0.9330269739118068
PCSlice5582.dat,19.87791221276422,0.902972088051641
PCSlice5583.dat,19.2153907340335,0.847882367812584
PCSlice5584.dat,20.096540700391902,0.9099931820136294
PCSlice5585.dat,19.819986917280495,0.8881687805748324
PCSlice5586.dat,17.71797630028529,0.831436697522069
PCSlice5587.dat,21.624378214122252,0.9356308332669824
PCSlice5588.dat,18.305244233713353,0.846412964666538
PCSlice5589.dat,20.021700269082462,0.9088088157732345
PCSlice5590.dat,19.13109269624738,0.8620786865509128
PCSlice5591.dat,20.005682935220342,0.9006299514602331
PCSlice5592.dat,19.192799652831894,0.8592371886589921
PCSlice5593.dat,20.530376326942093,0.932204661775932
PCSlice5594.dat,19.6256388081228,0.9005636645827636
PCSlice5595.dat,21.733680557368316,0.9387733072674131
PCSlice5596.dat,19.933173806292707,0.8922385586001983
PCSlice5597.dat,23.79577855326466,0.9570362284502232
PCSlice5598.dat,19.292053536118868,0.8984097125728185
PCSlice5599.dat,21.208033821637386,0.9526489195668865
PCSlice5600.dat,20.086938074173332,0.9137496367047601
PCSlice5601.dat,19.312339450275143,0.8613579526306357
PCSlice5602.dat,18.547783899231295,0.8585635931268827
PCSlice5603.dat,21.018564769386238,0.9477372507589567
PCSlice5604.dat,19.65938424545578,0.8799736957168214
PCSlice5605.dat,19.209670772731634,0.8707782539669995
PCSlice5606.dat,20.672948418656844,0.9340901793466806
PCSlice5607.dat,17.72008718857659,0.8490391978179008
PCSlice5608.dat,20.82349375416125,0.924258611838405
PCSlice5609.dat,20.442607477261742,0.9306147533596005
PCSlice5610.dat,19.68900877565869,0.8755678511927993
PCSlice5611.dat,18.286775011167194,0.8608330143128758
PCSlice5612.dat,18.83736972665016,0.8713355566277897
PCSlice5613.dat,19.153105137216514,0.8579984164851463
PCSlice5614.dat,19.326850609977445,0.8627128223833883
PCSlice5615.dat,18.741190122435498,0.8569598759853453
PCSlice5616.dat,20.634956627381435,0.9334897637237835
PCSlice5617.dat,20.053397792766727,0.8970892681469841
PCSlice5618.dat,19.620479299450825,0.8845619473461527
